lat,lon,flow,size,address,inservice,notes,dryhydrant,outservicedate
42.1254467,-89.2750502,1457,,"100 S Fox Run Ln, Byron, IL 61010, United States",,C19,,
42.12426,-89.27572,1419,,"135 S Fox Run Ln, Byron, IL 61010, United States",,C20,,
42.12365,-89.27599,1393,,"149 S Fox Run Ln, Byron, IL 61010, United States",,C21,,
42.12293,-89.27502,1393,,"169 S Fox Run Ln, Byron, IL 61010, United States",,C22,,
42.12318,-89.2744,1444,,"196 S Fox Run Ln, Byron, IL 61010, United States",,C23,,
42.1266945,-89.2604317,1314,,"200 N Franklin St, Byron, IL 61010, United States",,D02,,
42.11281,-89.28699,1457,,"N Friday Rd, Byron, IL 61010, United States",,I04,,
42.11223,-89.28751,1393,,"6730 N Friday Rd, Byron, IL 61010, United States",,I07,,
42.11305,-89.28753,1432,,"6754 N Friday Rd, Byron, IL 61010, United States",,I06,,
42.11415,-89.28757,1469,,"6834 N Friday Rd, Byron, IL 61010, United States",,I05,,
42.12453,-89.25685,,,"120 W Front St, Byron, IL 61010, United States",,B05.5,,
42.07659,-89.28129,,,"4450 N German Church Rd, Byron, IL 61010, United States",,Z01,,
42.12877,-89.24817,1406,,"327 Hamer Ct, Byron, IL 61010, United States",,H05,,
42.13387816947544,-89.2790561017963,1444,,"1543 Southfield Ln, Byron, IL 61010, USA",,G34,,
42.13526,-89.27894,1457,,"732 Hampton Dr, Byron, IL 61010, United States",,G35,,
42.13683,-89.27827,1469,,"802 Hampton Dr, Byron, IL 61010, United States",,G31,,
42.13566,-89.28078,1444,,"735 Kari Ct, Byron, IL 61010, United States",,G20,,
42.13403,-89.27485,1314,,"1404 Kingsway Ct, Byron, IL 61010, United States",,G15,,
42.13462,-89.27541,1393,,"1436 Kingsway Ct, Byron, IL 61010, United States",,G14,,
42.1369,-89.27699,1406,,"1032 Kingsway Ln, Byron, IL 61010, United States",,G08,,
42.13761,-89.27701,1314,,"1055 Kingsway Ln, Byron, IL 61010, United States",,G07,,
42.13519,-89.27501,1381,,"814 Kingsway Ln, Byron, IL 61010, United States",,G13,,
42.13612,-89.2799,1367,,"Kristi Dr, Byron, IL 61010, United States",,G26,,
