Polygon,Name,Street Address,Street Address2,City,State,Zip code,Roof Area (Sq. Ft),Occupancy Type,Construction Type,Roof Type,Roof Construction,Roof Material,Normal Population,Sprinklered,Stand Pipe,Fire Alarm,Hours of Operation,Owner Contact,Owner Phone,Notes,Storey Above,Storey Below
,Lincoln avenue dairy free stall barn, S Lincoln AVE,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000939,URU",,
,Garage, S Lincoln AVE,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000940,URU",,
,Lincoln avenue dairy scale house, S Lincoln AVE,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000944,URU",,
,Lincoln avenue dairy free stall barn, S Lincoln AVE,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000972,URU",,
,Dry cow free -stall barn, S Lincoln AVE,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000996,URU",,
,Lincoln avenue dairy heifer shed, S Lincoln AVE,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000997,URU",,
,Lincoln avenue dairy solids separation, S Lincoln AVE,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000998,URU",,
,Lincoln avenue dairy free stall  barn, S Lincoln AVE,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000999,URU",,
,Lincoln avenue dairy implement storage, S Lincoln AVE,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC001021,URU",,
,Lincoln ave dairy-feed loading, S Lincoln AVE,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC001023,URU",,
,Lincoln avenue dairy large heifer rearig, S Lincoln AVE,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC001024,URU",,
,Lincoln avenue dairy small heifer rear., S Lincoln AVE,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC001025,URU",,
,Commodities storage bldg., S Lincoln AVE,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC001044,URU",,
,Footprint Leasing,302 W Locust ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,912108383009",,
,"Cassel, Chad Apartments",304 W Locust ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,912108383008",,
,Architecture Building,608 E Lorado Taft DR,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000050,CNU",,
,Temple Hoyne Buell Hall,611 E Lorado Taft DR,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000339,CNU",,
,Mumford House,1403  Lorado Taft DR,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000125,URU",,
,Green Street Realty,202 S Lynn St,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,922116104018",,
,"Berns, Clancy, and Associates",405 E Main ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,922117228010",,
,Beyond Clean Detailing,708 E Main ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,912109352013",,
,"Hung , Tran B & Le N",907 E Main ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,922116104004",,
,Unity Church & Spiritual Center,1206 E Main ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,912109379009,FPP",,
,Little Red Dog House,1208 E Main ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,912109379015",,
,Vacant,1210 E Main ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,912108379018A",,
,Courage Connection,1304 E Main ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,912109379012,FPP",,
,Champaign County Fleet Maintenance,1605 E Main ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,922116200003,FPP",,
,ILEAS,1701 E Main ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,922116200005A,FPP",,
,ILEAS and EMA Storage,1703 E Main ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,922116200005F",,
,Champaign County Highway Dept,1705 E Main ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,922116200005G,FPP",,
,"Urb-Champ, Friends Meeting",1904 E Main ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,912109478004",,
,Birkenstock Concepts,104 W Main ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,922117202018",,
,New Balance,108 W Main ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,922117202011",,
