Project,Address,Street,Suite,Eng. Co.,Assigend Shift
ST. FRANCIS OF ASSISI SCHOOL, 4550,TELEGRAPH RD,,1720,C
ST. FRANCIS OF ASSISI PARISH HALL, 4550,TELEGRAPH RD,,1720,C
ST. FRANCIS OF ASSISI CONCESSION STAND, 4550,TELEGRAPH RD,,1720,C
ST. FRANCIS OF ASSISI CHURCH, 4556,TELEGRAPH RD,,1720,C
AUTO ZONE,4561,TELEGRAPH RD,,1720,C
Gateway Aquatics,4570,TELEGRAPH RD,,1720,C
Joan’s Trim Shop,4572,TELEGRAPH RD,,1720,C
KT'S SALOON,4574,TELEGRAPH RD,,1720,C
Laundromat,4580,TELEGRAPH RD,,1720,C
South County Chiropractic,4582,TELEGRAPH RD,,1720,C
Vacant,4584,TELEGRAPH RD,,1720,C
Mike Goetz InSurance,4586,TELEGRAPH RD,,1720,C
OV NAILS,4588,TELEGRAPH RD,,1720,C
oberweis ice cream & dairy,4590,TELEGRAPH RD,,1720,C
Exxon Mobil,4591,TELEGRAPH RD,,1720,C
CUSTARD'S FIRST STAND,4599,TELEGRAPH RD,,1720,C
HANDYMAN HARDWARE,5405,TELEGRAPH RD,,1720,C
walgreens,5414,TELEGRAPH RD,,1720,C
foot specialty assoc.,5427,TELEGRAPH RD,,1720,C
spirit Embroidery,5427,TELEGRAPH RD,A,1720,C
Borghi Floors,5427,TELEGRAPH RD,B & C,1720,C
Vacant,5427,TELEGRAPH RD,D,1720,C
Vacant,5427,TELEGRAPH RD,E,1720,C
Samco Supply,5427,TELEGRAPH RD,F,1720,C
reinhold flooring,5429,TELEGRAPH RD,,1720,C
International Sourcing,5429,TELEGRAPH RD,B & C,1720,C
ST. LOUIS CountY LIBRARY-CLIFF CAVE BRanch,5430,TELEGRAPH RD,,1720,C
US BANK,5433,TELEGRAPH RD,,1720,C
Mehlville fire Station 2,5434,TELEGRAPH RD,,1720,C
Auto Spa,5439,TELEGRAPH RD,,1720,C
Joanie's Pizzeria,5441,TELEGRAPH RD,101,1720,C
SOUTHGATE PROPERTIES,5445,TELEGRAPH RD,101,1720,C
SOUTHTOWN SLUGGERS,5445,TELEGRAPH RD,103,1720,C
st. louis nails,5445,TELEGRAPH RD,105,1720,C
Jimmy John's,5445,TELEGRAPH RD,107 & 109,1720,C
Aaron Schertzer DDS,5445,TELEGRAPH RD,111,1720,C
L. A. RAYS,5445,TELEGRAPH RD,113,1720,C
Stylistions,5445,TELEGRAPH RD,115,1720,C
AGAPE YOGA,5445,TELEGRAPH RD,117,1720,C
Affordable Eyecare,5445,TELEGRAPH RD,119,1720,C
state farm insurance,5445,TELEGRAPH RD,121,1720,C
Prescription Fitness,5445,TELEGRAPH RD,123,1720,C
ZARKIE MUSIC,5445,TELEGRAPH RD,125 & 127,1720,C
Billie's Bistro,5445,TELEGRAPH RD,131 & 133,1720,C
Game Stop,5445,TELEGRAPH RD,135 & 137,1720,C
COPPERGATE SQUARE ,5445,TELEGRAPH RD,MECH RM.,1720,C
AMERICAN CLEANERS,5452,TELEGRAPH RD,,1720,C
TACO BELL/pizza hut,5453,TELEGRAPH RD,,1720,C
union planters bank,5505,TELEGRAPH RD,,1720,C
ST. PAUL'S UNITED CHURCH, 5508,TELEGRAPH RD,,1720,C
Treehouse Preschool, 5508,TELEGRAPH RD,,1720,C
charles meyer insurance agency,5516,TELEGRAPH RD,,1720,C
South County Senior Law,5518,TELEGRAPH RD,101,1720,C
South County Senior Law,5518,TELEGRAPH RD,102,1720,C
"WIDEMAN & ASSOCiates, INC.",5518,TELEGRAPH RD,201,1720,C
"tom thomsen, c. p. a.",5518,TELEGRAPH RD,202,1720,C
SAL GRILLO INSURANCE AGENCY,5520,TELEGRAPH RD,101,1720,C
"BORUSIEWICH & COle, P.C.",5520,TELEGRAPH RD,102,1720,C
vacant,5520,TELEGRAPH RD,103 & 105,1720,C
"DENNIS B. MERTZ, ATTORNEY AT LAW",5520,TELEGRAPH RD,104,1720,C
vacant,5520,TELEGRAPH RD,201,1720,C
american family insurance,5520,TELEGRAPH RD,202,1720,C
barnes pipe & steel supply,5520,TELEGRAPH RD,203,1720,C
lindbergh capital management,5520,TELEGRAPH RD,204,1720,C
TIRE STATION,5521,TELEGRAPH RD,,1720,C
SOUTH COUNTY FAMILY MEDICINE,5524,TELEGRAPH RD,101,1720,C
"DR. GEORGE BANKHEAD, DDS",5524,TELEGRAPH RD,201,1720,C
perk it up cafe,5526,TELEGRAPH RD,,1720,C
SUBWAY SANDWICHES & SALADS,5530,TELEGRAPH RD,,1720,C
Lana's salon,5532,TELEGRAPH RD,,1720,C
yes cleaners,5534,TELEGRAPH RD,,1720,C
MCDONALD'S RESTAURANT,5537,TELEGRAPH RD,,1720,C
coldwell banker gundaker ReaLToRS,5538,TELEGRAPH RD,,1720,C
vacant,5540,TELEGRAPH RD,,1720,C
Oakville nails,5542,TELEGRAPH RD,,1720,C
Shaking Bowl,5544,TELEGRAPH RD,,1720,C
Midwest Bank Centre,5575,TELEGRAPH RD,,1720,C
OAKVILLE SHELL STATION,5590,TELEGRAPH RD,,1720,C
VALVOLINE INSTANT OIL CHANGE,5600,TELEGRAPH RD,,1720,C
BURGER KING #4773,5601,TELEGRAPH RD,,1720,C
,5610,TELEGRAPH RD,,1720,C
Yorkshire CleAners,5620,TELEGRAPH RD,,1720,C
JACK IN THE BOX,5624,TELEGRAPH RD,,1720,C
Treats Unleashed,5626,TELEGRAPH RD,A,1720,C
Vacant,5626,TELEGRAPH RD,C,1720,C
Autotire,5626,TELEGRAPH RD,E,1720,C
sCOTT'S  AUTO CARE,5627,TELEGRAPH RD,A,1720,C
Windshields and More,5627,TELEGRAPH RD,B,1720,C
COMMERCE BANK OF ST LOUIS,5630,TELEGRAPH RD,,1720,C
Blockbuster Video,5632,TELEGRAPH RD,,1720,C
Clarkson Eyecare,5632,TELEGRAPH RD,A,1720,C
Marshall Wireless,5632,TELEGRAPH RD,B,1720,C
Vacant,5634,TELEGRAPH RD,,1720,C
DOBBS TIRE CENTER #11,5635,TELEGRAPH RD,,1720,C
United States Postal Service,5636,TELEGRAPH RD,,1720,C
"DAN A. RATHGEBER, DDS",5637,TELEGRAPH RD,,1720,C
Hunan Peking,5638,TELEGRAPH RD,,1720,C
BP,5639,TELEGRAPH RD,,1720,C
Dierberg's Market,5640,TELEGRAPH RD,,1720,C
Supercuts Hair Salon,5640,TELEGRAPH RD,A,1720,C
UPS Store,5640,TELEGRAPH RD,B,1720,C
CONCORD CLEANERS,5642,TELEGRAPH RD,,1720,C
SuperCuts,5644,TELEGRAPH RD,,1720,C
First Watch,5646,TELEGRAPH RD,,1720,C
GARVEY'S GRILL,5647,TELEGRAPH RD,,1720,C
"RAY DIERKER, JR., ATTorney",5647,TELEGRAPH RD,1,1720,C
AMERICAN FAMILY INSURANCE,5647,TELEGRAPH RD,3 & 4,1720,C
VACANT,5647,TELEGRAPH RD,6,1720,C
vacant,5647,TELEGRAPH RD,7,1720,C
Edward Jones,5647,TELEGRAPH RD,8,1720,C
Natural Supplements dba CBD American Shaman,5650,TELEGRAPH RD,,1720,C
Vacant,5654,TELEGRAPH RD,,1720,C
Massage Envy,5656,TELEGRAPH RD,,1720,C
,5656 ,TELEGRAPH RD,A,1720,C
Oakville Fitness MO LLC,5658,TELEGRAPH RD,,1720,C
Crazy Cup,5658,TELEGRAPH RD,A,1720,C
planet CHILD CARE, 5660,TELEGRAPH RD,,1720,C
TELEGRAPH LIQUORS,5661,TELEGRAPH RD,,1720,C
DOMINOS,5661,TELEGRAPH RD,,1720,C
DR. robert RIVLIN,5661,TELEGRAPH RD,1A,1720,C
vacant,5661,TELEGRAPH RD,1B,1720,C
dr. miller,5661,TELEGRAPH RD,2A,1720,C
life development support center,5661,TELEGRAPH RD,2B,1720,C
global aquaculture alliance,5661,TELEGRAPH RD,3A,1720,C
hair productions,5661,TELEGRAPH RD,3B,1720,C
VACANT,5661,TELEGRAPH RD,4B & 6B,1720,C
VACANT,5661 ,TELEGRAPH RD,5B,1720,C
Tanco,5666,TELEGRAPH RD,,1720,C
Vacant,5670,TELEGRAPH RD,,1720,C
Edward Jones,5672,TELEGRAPH RD,,1720,C
Expedia Cruise Ship Center,5674,TELEGRAPH RD,,1720,C
PIZZA HUT,5676,TELEGRAPH RD,,1720,C
Wild Flowers Consignment,5678,TELEGRAPH RD,,1720,C
Great Lengths,5680,TELEGRAPH RD,,1720,C
Oakville Health & Rehab Center,5682,TELEGRAPH RD,,1720,C
Wine & Design,5684,TELEGRAPH RD,,1720,C
Welker Family Dendistry,5686,TELEGRAPH RD,,1720,C
Icing Cafe,5688,TELEGRAPH RD,,1720,C
h & R block,5690,TELEGRAPH RD,,1720,C
queen's nails,5692,TELEGRAPH RD,,1720,C
Crown Vision Center,5694,TELEGRAPH RD,,1720,C
ST. LOUIS BREAD COMPANY,5696,TELEGRAPH RD,,1720,C
"DR. PAUL BLES, DDS",5709,TELEGRAPH RD,,1720,C
RIGSBY PRO HAIRCUTTERS,5709,TELEGRAPH RD,,1720,C
ANIMAL CLINIC SOUTH,5712,TELEGRAPH RD,,1720,C
Simmons Bank,5739,TELEGRAPH RD,,1720,C
south county church of the nazarene,5740,TELEGRAPH RD,,1720,C
meineke mufflers,5757,TELEGRAPH RD,,1720,C
Bethesda health group-annex,5911,TELEGRAPH RD,,1720,C
Bethesda Southgate Care Center,5943,TELEGRAPH RD,,1720,C
Oakville Middle School,5950,TELEGRAPH RD,,1720,C
Wohlwend Elementary School,5966,TELEGRAPH RD,,1720,C
oakville farmer's market,6012,TELEGRAPH RD,,1720,C
las fuentes restaurant,6025,TELEGRAPH RD,,1720,C
Star Nails,6031,TELEGRAPH RD,,1720,C
Healing & Massage,6033,TELEGRAPH RD,,1720,C
the goddard school,6040,TELEGRAPH RD,,1720,C
big league barber shop,6049,TELEGRAPH RD,,1720,C
China King Restaurant,6051,TELEGRAPH RD,5,1720,C
papa john's pizza,6057,TELEGRAPH RD,,1720,C
o'paddy's frozen custard,6065,TELEGRAPH RD,,1720,C
walgreens,6071,TELEGRAPH RD,,1720,C
Faith Lutheran evangelical CHURCH, 6101,TELEGRAPH RD,,1720,C
FAITH LUTHERAN Evangelical day care, 6101,TELEGRAPH RD,,1720,C
southern commercial bank,6121,TELEGRAPH RD,,1720,C
telegraph U-Gas/phillips 66,6161,TELEGRAPH RD,,1720,C
IMO'S PIZZA,6197,TELEGRAPH RD,A,1720,C
Play and Trade,6197,TELEGRAPH RD,B,1720,C
vogel heating & sheet metal,6197,TELEGRAPH RD,C,1720,C
edward jones,6197,TELEGRAPH RD,D,1720,C
SUNNY DAY CHILD CARE CENTER, 6449,TELEGRAPH RD,,1720,C
BLACK FOREST ESTATES CONDOS, 2832,WESTPHALIA CT,3,1720,C
VACANT, 2734,YAEGER RD,,1720,C
oakville elementary school,2911,YAEGER RD,,1720,C
WHITEHALL APARTMENTS,9872,ALEPPO DR,,1730,A
SHOGUN Japanese Steak House,10550,BAPTIST CHURCH RD,,1730,A
JIMMY JOHN'S,10566,BAPTIST CHURCH RD,,1730,A
MERS-Goodwill,10570,BAPTIST CHURCH RD,,1730,A
O'Reiley Auto Parts,10622,BAPTIST CHURCH RD,,1730,A
Auto Zone,10625,BAPTIST CHURCH RD,,1730,A
Mattress Outlet,10626,BAPTIST CHURCH RD,,1730,A
pregnancy resource center,10640,BAPTIST CHURCH RD,200,1730,A
R M SIGNS,10646,BAPTIST CHURCH RD,,1730,A
Design Direct Inc,10646,BAPTIST CHURCH RD,201,1730,A
vacant,10697,BAPTIST CHURCH RD,,1730,A
SHEAR GENIUS,11668,BAPTIST CHURCH RD,,1730,A
vacant,11670,BAPTIST CHURCH RD,,1730,A
Weight Loss Plus,11672,BAPTIST CHURCH RD,,1730,A
Littlefield Architecture,11674,BAPTIST CHURCH RD,,1730,A
Remedy Staffing,11676,BAPTIST CHURCH RD,,1730,A
"MARK MEYERS, DDS",11678,BAPTIST CHURCH RD,,1730,A
T. J.'s diner,11690,BAPTIST CHURCH RD,,1730,A
Autoplex of south county,11700,BAPTIST CHURCH RD,,1730,A
ROLLERCADE,11703,BAPTIST CHURCH RD,,1730,A
CONCORD ANIMAL HOSPITAL,11705,BAPTIST CHURCH RD,,1730,A
GREINER'S TIRE & AUTO,11711,BAPTIST CHURCH RD,,1730,A
JIFFY LUBE,11719,BAPTIST CHURCH RD,,1730,A
DON'S BARBER SHOP,11720,BAPTIST CHURCH RD,,1730,A
Tesson Ferry Market,11722,BAPTIST CHURCH RD,,1730,A
Feraro's Jersy Style Pizza,11726,BAPTIST CHURCH RD,,1730,A
scuba shop usa,11728,BAPTIST CHURCH RD,,1730,A
BASKIN ROBBINS ICE CREAM,11730,BAPTIST CHURCH RD,,1730,A
Panda Stl LLC,11734,BAPTIST CHURCH RD,,1730,A
CARROLL WOOD CONDOMINIUMS (MGR),10761,CARROLL WOOD WAY,,1730,A
msg JEWELERS,103,CONCORD PLAZA SHOPPING CTR,,1730,A
vacant,104,CONCORD PLAZA SHOPPING CTR,201,1730,A
vacant,105,CONCORD PLAZA SHOPPING CTR,201,1730,A
david naumann,105,CONCORD PLAZA SHOPPING CTR,203,1730,A
vacant,105,CONCORD PLAZA SHOPPING CTR,205,1730,A
"ken k. schmitt, p c",105,CONCORD PLAZA SHOPPING CTR,209,1730,A
pro rehab,107,CONCORD PLAZA SHOPPING CTR,,1730,A
fcb,111,CONCORD PLAZA SHOPPING CTR,,1730,A
CONCORD PLAZA BARBER SHOP,113,CONCORD PLAZA SHOPPING CTR,,1730,A
FANTASTIC SAM'S,115,CONCORD PLAZA SHOPPING CTR,,1730,A
DIAL CLEANERS,117,CONCORD PLAZA SHOPPING CTR,,1730,A
 vacant,119,CONCORD PLAZA SHOPPING CTR,,1730,A
top line nails,121,CONCORD PLAZA SHOPPING CTR,,1730,A
pasta plus,123,CONCORD PLAZA SHOPPING CTR,,1730,A
hokkaido japanese resturant,129,CONCORD PLAZA SHOPPING CTR,,1730,A
EL MAGUEY,135,CONCORD PLAZA SHOPPING CTR,,1730,A
Century 21 Advantage,138,CONCORD PLAZA SHOPPING CTR,,1730,A
THE HEALTHY SHOPPER,139,CONCORD PLAZA SHOPPING CTR,,1730,A
vacant,141,CONCORD PLAZA SHOPPING CTR,,1730,A
robertos,145,CONCORD PLAZA SHOPPING CTR,,1730,A
XIST-TAN CO,151,CONCORD PLAZA SHOPPING CTR,,1730,A
life skills foundation,157,CONCORD PLAZA SHOPPING CTR,B-L/L-back,1730,A
vacant,157,CONCORD PLAZA SHOPPING CTR,D,1730,A
vacant,157,CONCORD PLAZA SHOPPING CTR,E,1730,A
NATionaL ACADEMY OF BEAUTY ARTS,157,CONCORD PLAZA SHOPPING CTR,R,1730,A
motion express,159,CONCORD PLAZA SHOPPING CTR,,1730,A
BEST HOME FURNISHINGS,165,CONCORD PLAZA SHOPPING CTR,,1730,A
STATE BEAUTY SUPPLY,171,CONCORD PLAZA SHOPPING CTR,C,1730,A
SKIN INSTITUTE,175,CONCORD PLAZA SHOPPING CTR,,1730,A
DR. JOHN GSELL,177,CONCORD PLAZA SHOPPING CTR,,1730,A
first defense traffic law,181,CONCORD PLAZA SHOPPING CTR,,1730,A
helix hear usa,183,CONCORD PLAZA SHOPPING CTR,,1730,A
savy suites, 187,CONCORD PLAZA SHOPPING CTR,,1730,A
PERNI'S PLAZA,189,CONCORD PLAZA SHOPPING CTR,,1730,A
quizno's classic subs,91,CONCORD PLAZA SHOPPING CTR,,1730,A
FROYO CUSTARD,95 ,CONCORD PLAZA SHOPPING CTR,,1730,A
CONCORD FARMERS CLUB,10140,CONCORD SCHOOL RD,,1730,A
CONCORD ELEMENTARY SCHOOL,10305,CONCORD SCHOOL RD,,1730,A
CONCORD GRILL,11427,CONCORD VILLAGE AVE,,1730,A
aaa vacuum,11500,CONCORD VILLAGE AVE,A,1730,A
Ken Nuspi CEO,16600,CONCORD VILLAGE AVE,,1730,A
COUNTRY SQUIRE CLEANERS,11609,DENNY RD,,1730,A
vacant,11615,DENNY RD,,1730,A
ST. LUCAS UNITED CHURCH,11735,DENNY RD,,1730,A
ST. LUCAS Preschool,11735,DENNY RD,,1730,A
SOUTHVIEW SPECIAL SCHOOL,11660,EDDIE AND PARK RD,,1730,A
CRESTWOOD CHRISTIAN CHURCH,11750,EDDIE AND PARK RD,,1730,A
ST JUSTIN THE MARTYR SCHOOL,11914,EDDIE AND PARK RD,,1730,A
St Justin the Martyr Church,11916,EDDIE AND PARK RD,,1730,A
St Justin the Martyr Church,11918,EDDIE AND PARK RD,,1730,A
TRUMAN MIDDLE SCHOOL,12225,EDDIE AND PARK RD,,1730,A
HEIMOS GREENHOUSES-annex,12291,EDDIE AND PARK RD,,1730,A
HEIMOS GREENHOUSES,12345,EDDIE AND PARK RD,,1730,A
Fox/KTVI CHANNEL 2,10001,EMIL AVE,,1730,A
SAPPINGTON CHILD CARE Center, 9915,EMIL AVE,,1730,A
SOUTHWOODS APTS.,9287,FORT SUMTER LN,,1730,A
grant's farm - bauernhof,7400,GRANT RD,,1730,A
AFFTON ATHL ASSN (ICE RINK/BALL FIELD),10300,GRAVOIS RD,,1730,A
GRANT'S FARM,10501,GRAVOIS RD,,1730,A
SAPPINGTON ELEMENTARY SCHOOL,11011,GRAVOIS RD,,1730,A
MONTE CARLO APartments,11142,GRAVOIS RD,A,1730,A
marcus balch american family insurance,11304,GRAVOIS RD,,1730,A
BASEBALL COLLECTORS,11314,GRAVOIS RD,,1730,A
vacant,11318,GRAVOIS RD,,1730,A
LEE'S TAILOR SHOP,11318,GRAVOIS RD,Lower ,1730,A
GRANTVIEW ANIMAL HOSPITAL,11319,GRAVOIS RD,,1730,A
mester & sons,11322,GRAVOIS RD,,1730,A
help-u-sell real estate,11327,GRAVOIS RD,101,1730,A
vacant,11327,GRAVOIS RD,102,1730,A
MID AMERICA CROPLIFE ASSOC.,11327,GRAVOIS RD,201,1730,A
"john bagwell, c. p. a.",11327,GRAVOIS RD,202,1730,A
cabinet distributors inc.,11330,GRAVOIS RD,100,1730,A
"Solution Data SYstems, INc.",11330,GRAVOIS RD,201,1730,A
saale chiropractic offices,11339,GRAVOIS RD,,1730,A
Zips Car Wash,11355,GRAVOIS RD,,1730,A
civil engineering design consultants,11402,GRAVOIS RD,100,1730,A
marler surveying,11402,GRAVOIS RD,200,1730,A
BBB,11404,GRAVOIS RD,10-1st fl.,1730,A
scrubby dutch cleaning,11404,GRAVOIS RD,A,1730,A
MEYER HEATING AND COOLING,11404,GRAVOIS RD,B-downstairs,1730,A
BRIGGS SERVICE STATION,11405,GRAVOIS RD,,1730,A
FP&S,11406,GRAVOIS RD,entire bldg,1730,A
SAPPINGTON CHILD CARE Center,11408,GRAVOIS RD,,1730,A
SAPPINGTON AUTOMOTIVE,11411,GRAVOIS RD,,1730,A
"STEPHEN J MURPHY, ATTY.",11414,GRAVOIS RD,101,1730,A
banctec,11414,GRAVOIS RD,103,1730,A
colonial homes,11414,GRAVOIS RD,201,1730,A
allstate steve misuraca,11414,GRAVOIS RD,203,1730,A
ROSEMARK CO.,11414,GRAVOIS RD,301,1730,A
St. Louis Basket Supply,11420,GRAVOIS RD,104,1730,A
St. Louis Group,11420,GRAVOIS RD,"200,301,304",1730,A
LAUNHARDT & ASSOCiates,11420,GRAVOIS RD,201,1730,A
Exclamation,11420,GRAVOIS RD,203,1730,A
VACANT,11422,GRAVOIS RD,100,1730,A
MCDONALDS-hillmeyer & christian,11422,GRAVOIS RD,100-101,1730,A
farmers insurance,11422,GRAVOIS RD,102,1730,A
C. D. I. INTERNET,11422,GRAVOIS RD,103,1730,A
"deborah k. tayon, attorney",11422,GRAVOIS RD,104,1730,A
callis & partners law firm,11422,GRAVOIS RD, 110,1730,A
MALONEY & Jackson,11422,GRAVOIS RD,201,1730,A
EBM COMPUTER SERVICES,11422,GRAVOIS RD,202,1730,A
SPECIALIZED IRONWORKS INC.,11424,GRAVOIS RD,204,1730,A
dunsworth specific chiropractic,11426,GRAVOIS RD,,1730,A
HEALING RESOURCES,11426,GRAVOIS RD,,1730,A
vacant,11426,GRAVOIS RD,,1730,A
O' KEEFE ASSOCIATES,11426,GRAVOIS RD,,1730,A
vacant,11428,GRAVOIS RD,,1730,A
HILL & CO.,11430,GRAVOIS RD,100 G-2,1730,A
"dacey & associates, P.C.",11430,GRAVOIS RD,101,1730,A
vacant,11430,GRAVOIS RD,103,1730,A
"daniel J. grobe, cpa",11430,GRAVOIS RD,104,1730,A
"JACK WESTERHEIDE, CPA",11430,GRAVOIS RD,200,1730,A
DENNIS REPA & THOMAS BUsKEN,11430,GRAVOIS RD,300  G-1,1730,A
NATL COUNCIL ON COMPENSATION INSURANCE,11430,GRAVOIS RD,310,1730,A
mark wehking insurance agency,11431,GRAVOIS RD,01,1730,A
GENE WEHKING,11431,GRAVOIS RD,"02,03",1730,A
vacant,11431,GRAVOIS RD,04,1730,A
VACANT,11431,GRAVOIS RD,05,1730,A
the centurions inc.,11431,GRAVOIS RD,06,1730,A
VACANT,11431,GRAVOIS RD,07,1730,A
AMERICAN FAMILY INSURANCE,11431,GRAVOIS RD,08,1730,A
VACANT,11431,GRAVOIS RD,09,1730,A
SWANTER ,11431,GRAVOIS RD,10,1730,A
senior circuit,11431,GRAVOIS RD,11,1730,A
"JOHN COUNTS, ATTY",11431,GRAVOIS RD,12,1730,A
VACANT,11431,GRAVOIS RD,13,1730,A
NEXUS COMM,11431,GRAVOIS RD,14,1730,A
MODERN VINTAGE DECOR,11433,GRAVOIS RD,,1730,A
swantner CYCLE CITY,11451,GRAVOIS RD,A,1730,A
swantner PARTS,11451,GRAVOIS RD,B,1730,A
swantner SALES,11451,GRAVOIS RD,C,1730,A
VACANT,11500,GRAVOIS RD,,1730,A
eckerts,11520,GRAVOIS RD,,1730,A
CARL BAKER FAMILY PRACTICE,11521,GRAVOIS RD,,1730,A
SAPPINGTON GARDEN SHOP,11530,GRAVOIS RD,,1730,A
HUNAN YU RESTAURANT,11539,GRAVOIS RD,,1730,A
purple cow kid's resale,11541..43,GRAVOIS RD,,1730,A
"COOLFIRE ORIGINALS, LLC",11545,GRAVOIS RD,,1730,A
THE MEDICINE SHOPPE,11551,GRAVOIS RD,,1730,A
KAREN-ANN'S SUPPLIES,11553,GRAVOIS RD,,1730,A
JOHNNY'S MARKET,11555,GRAVOIS RD,,1730,A
Lindbergh School Central Office,11555,GRAVOIS RD,,1730,A
BAKED GOODS POTTERY,11557....63,GRAVOIS RD,,1730,A
ford furnishings,11567,GRAVOIS RD,,1730,B
SAPPINGTON LOUNGE,11569,GRAVOIS RD,,1730,B
Nana's Attic Antiques & Collectibles LLC,11575,GRAVOIS RD,,1730,B
walgreens,11580,GRAVOIS RD,,1730,B
walgreens,11590,GRAVOIS RD,,1730,B
BAUER OIL COMPANY,11600,GRAVOIS RD,,1730,B
SUNSET CITGO,11603,GRAVOIS RD,,1730,B
Christine Lieber Agency - Shelter Insurance,11611,GRAVOIS RD,,1730,B
sunset hills barber SHOP,11616,GRAVOIS RD,,1730,B
abbey glass,11617,GRAVOIS RD,,1730,B
SWAMP'S JEEP PARTS,11618,GRAVOIS RD,,1730,B
ULTIMATE HAIR,11620,GRAVOIS RD,,1730,B
SAPPINGTON SHOE SERVICE,11622,GRAVOIS RD,,1730,B
"Jane otto, dds",11624,GRAVOIS RD,,1730,B
midwest hearing center,11627,GRAVOIS RD,,1730,B
gerda thalheimer d.d.s.,11627,GRAVOIS RD,2,1730,B
A-PLUS PRINTING SERVICE,11628,GRAVOIS RD,,1730,B
HERITAGE MIDWEST,11634,GRAVOIS RD,,1730,B
AT&T CENTRAL OFFICE,11640,GRAVOIS RD,,1730,B
ELLEN'S VITAMINS & HEALTH,11643,GRAVOIS RD,,1730,B
lawrence's fine gifts & collectibles,11647,GRAVOIS RD,A & B,1730,B
"bild, attorney at law",11648,GRAVOIS RD,120-130,1730,B
kip mcgrath education centers,11648,GRAVOIS RD,140,1730,B
Custard Insurance Adjusters,11648,GRAVOIS RD,215,1730,B
"reuter, piatchek, clancy, ATTORNEYs-AT-LAW",11648,GRAVOIS RD,225,1730,B
"JOHN SHARAMITARO, P C",11648,GRAVOIS RD,235,1730,B
Assessment & Counseling Solutions,11648,GRAVOIS RD,245,1730,B
missouri hockey inc.,11648 ,GRAVOIS RD,110,1730,B
graphics companY,11653,GRAVOIS RD,100,1730,B
VANTIVE PARTNERS,11653,GRAVOIS RD,200,1730,B
schaefer's,11659,GRAVOIS RD,,1730,B
SAPPINGTON BRANCH U.S. POST OFFICE,11662,GRAVOIS RD,,1730,B
HEARTLAND SAVINGS BANK,11670,GRAVOIS RD,,1730,B
TALLMAN COMPANY,11672,GRAVOIS RD,,1730,B
"st. louis venders, inc.
",11674,GRAVOIS RD,,1730,B
HANDLING SYSTEMS,11678,GRAVOIS RD,RIGHT,1730,B
us bank,11685,GRAVOIS RD,,1730,B
TRATTORIA TOSCANA,11686,GRAVOIS RD,,1730,B
"SUNSET ford AUTO CO., INC",11700,GRAVOIS RD,,1730,B
dr. R. W. CRANWELL,11705,GRAVOIS RD,,1730,B
st. louis dart shop,"11711	",GRAVOIS RD,,1730,B
GOLDIE LOCKS SALON,11719,GRAVOIS RD,,1730,B
bandana's bar-b-q (3 BLDGS.),11750,GRAVOIS RD,,1730,B
schowalter & jabouri computer solutions,11777,GRAVOIS RD,,1730,B
ST. LOUIS COUNTY ORAL SURGERY,11810,GRAVOIS RD,Lower,1730,B
SUNSET HILLS DENTAL GROUP,11810,GRAVOIS RD,Upper,1730,B
precision auto detailings,11812,GRAVOIS RD,,1730,B
CUSTOM DETAIL AND MORE,11816,GRAVOIS RD,,1730,B
Midwest Regional Bank,11860,GRAVOIS RD,,1730,B
fenton auto sales,11860,GRAVOIS RD,A,1730,B
ST. LOUIS ORTHODONTIC GROUP,11866,GRAVOIS RD,,1730,B
SUNSET TOWER DENTAL CENTER,11870,GRAVOIS RD,,1730,B
mulligan chiropractic,11872,GRAVOIS RD,,1730,B
GALLERY OF beauty,11874,GRAVOIS RD,,1730,B
AMERICAN FAMILY INSURANCE,11876,GRAVOIS RD,,1730,B
"SCHOWALTER & JABOURI, PC",11878,GRAVOIS RD,,1730,B
BENE-KELLY INSURANCE,11880,GRAVOIS RD,,1730,B
title insurers agency,11884,GRAVOIS RD,,1730,B
WORLDWIDE DESIGNS,11886,GRAVOIS RD,,1730,B
J P'S CORNER,11890,GRAVOIS RD,,1730,B
CONCORD BAVARIAN APartments,10536,HACKBERRY DR,,1730,B
MAINTENANCE OFFICE,9735,LANDMARK PARKWAY DR,1,1730,B
DELTA DENTAL,9735,LANDMARK PARKWAY DR,110,1730,B
"KELLY SERVICES, INC.",9735,LANDMARK PARKWAY DR,120,1730,B
essex dental,9735,LANDMARK PARKWAY DR,14,1730,B
delta dental/deni serv/essex,9735,LANDMARK PARKWAY DR,14 & 16,1730,B
DENI SERV,9735,LANDMARK PARKWAY DR,16,1730,B
PERSONAL ASSISTANCE SERVICES,9735,LANDMARK PARKWAY DR,17 & 15,1730,B
genelco,9735,LANDMARK PARKWAY DR,1st fl.-SWO-1&3,1730,B
genelco,9735,LANDMARK PARKWAY DR,2nd fl.-SWO-4,1730,B
genelco,9735,LANDMARK PARKWAY DR,Grd. fl.-11&19,1730,B
SAFCO LLC,9962,LIN FERRY DR,206,1730,B
Paul grana lawyers & associates,10009,OFFICE CENTER AVE,100,1730,B
vacant,10009,OFFICE CENTER AVE,101,1730,B
vacant,10009,OFFICE CENTER AVE,102,1730,B
pdq,10009,OFFICE CENTER AVE,200,1730,B
dale corporation,10016,OFFICE CENTER AVE,100,1730,B
VACANT,10016,OFFICE CENTER AVE,101,1730,B
