lat,lon
40.1275378,-88.18818449999999
40.0741058,-88.25368180000001
40.06632,-88.24228400000001
40.0758439,-88.2378463
40.21704,-74.68401399999999
40.0544519,-88.24728309999999
40.06632,-88.24228400000001
40.076419386014486,-88.24925411635905
40.0440921,-88.2538063
40.0483004,-88.2552442
40.0732168,-88.25608059999999
40.054753,-88.2517165
40.053559840375314,-88.24580848503001
40.06632,-88.24228400000001
40.05992445533431,-88.24515951386189
40.11265640000001,-88.1703952
39.9861415,-88.2589387
40.03649619999999,-88.26398789999999
40.0738739,-88.24919849999999
40.074126,-88.248357
39.9861415,-88.2589387
40.0758439,-88.2378463
40.0758439,-88.2378463
39.9861415,-88.2589387
40.0400154,-88.2503811
40.06632,-88.24228400000001
40.0526645,-88.24972969999999
40.0606805,-88.2515111
40.06632,-88.24228400000001
40.0401329,-88.2523789
39.9948678,-88.2504829
40.06632,-88.24228400000001
40.0770399,-88.2522329
40.0614219,-88.2451105
40.0687579,-88.2550541
41.1786177,-84.749
40.03649619999999,-88.26398789999999
40.0637098,-88.2508225
40.0483004,-88.2552442
40.06632,-88.24228400000001
40.06632,-88.24228400000001
40.03649619999999,-88.26398789999999
40.06742608727224,-88.24229143486338
40.06742608727224,-88.24229143486338
40.0724194,-88.2577814
40.06742608727224,-88.24229143486338
40.0483004,-88.2552442
30.8674786,-83.2692699
40.0515331,-88.2438746
40.070412953787,-88.25200315940396
40.0670113,-88.2451167
40.0570536,-88.2746907
40.0591467,-88.25383219999999
40.06900470000001,-88.2573218
40.068933,-88.238394
39.965657,-88.26780500000001
40.06742608727224,-88.24229143486338
40.0719649,-88.2487048
40.0689619,-88.2449943
40.054753,-88.2517165
39.9861415,-88.2589387
40.0440921,-88.2538063
40.0627822,-88.2397481
40.06742608727224,-88.24229143486338
40.06367755347483,-88.24693444749374
40.1404991,-88.27405379999999
40.080054,-88.25132819999999
40.0542737,-88.24775129999999
40.054753,-88.2517165
40.060937,-88.2469472
40.054753,-88.2517165
40.0741058,-88.25368180000001
40.054753,-88.2517165
40.0732168,-88.25608059999999
40.0732168,-88.25608059999999
40.0732168,-88.25608059999999
40.07771386190437,-88.2519483910852
40.07967003661128,-88.24794050439169
40.0599552,-88.2755787
40.06742608727224,-88.24229143486338
40.0750739,-88.2017783
40.06742608727224,-88.24229143486338
40.0741058,-88.25368180000001
40.0741058,-88.25368180000001
39.9861415,-88.2589387
40.0629875,-88.23900789999999
40.9483707,-74.22066099999999
39.9861415,-88.2589387
40.1447525,-88.2453238
38.5771314,-121.5010896
40.0690537,-88.2553472
40.1084876,-88.17399309999999
40.080661,-88.2519329
40.0522971,-88.24754949999999
40.060937,-88.2469472
40.054753,-88.2517165
40.06742608727224,-88.24229143486338
40.0708433,-88.2528437
40.0606805,-88.2515111
40.7528298,-73.9923503
40.0519329,-88.253134
40.1085038,-88.1708904
40.06742608727224,-88.24229143486338
37.5211752,22.8597536
40.03951,-88.24817619999999
40.06742608727224,-88.24229143486338
40.063419395322114,-88.25331323747224
40.06122744847457,-88.27100664911677
40.06742608727224,-88.24229143486338
40.141829,-88.2745474
40.06742608727224,-88.24229143486338
39.984206,-88.25575900000001
40.069006,-88.249174
40.0926475,-88.27731999999999
40.05538000000001,-88.249805
40.069006,-88.249174
40.0684817,-88.249997
40.0629875,-88.23900789999999
40.0804681,-88.2554164
40.06776888406263,-88.23961828055491
40.0602857,-88.2467324
40.0483004,-88.2552442
40.03649619999999,-88.26398789999999
39.9861415,-88.2589387
40.0732168,-88.25608059999999
40.14516589999999,-88.2747253
40.0483004,-88.2552442
40.0483004,-88.2552442
40.06742608727224,-88.24229143486338
40.05426443829249,-88.26139994265554
40.06742608727224,-88.24229143486338
40.06742608727224,-88.24229143486338
40.0628951,-88.2512138
40.067406,-88.23968200000002
40.06742608727224,-88.24229143486338
40.06742608727224,-88.24229143486338
37.5211752,22.8597536
40.0741058,-88.25368180000001
40.1112304,-88.172821
40.1011582,-87.6389284
40.034087,-88.2478063
40.06742608727224,-88.24229143486338
40.0741058,-88.25368180000001
40.06742608727224,-88.24229143486338
40.0526645,-88.24972969999999
40.0741058,-88.25368180000001
40.06742608727224,-88.24229143486338
39.9861415,-88.2589387
40.0741058,-88.25368180000001
40.05920441625844,-88.24080715643692
40.066118,-88.245814
40.0590184,-88.25234499999999
40.067517,-88.24822999999999
39.9917403,-88.2547309
39.9917403,-88.2547309
40.1293505,-88.18875690000002
27.9880483,-82.44703659999999
39.9861415,-88.2589387
40.06742608727224,-88.24229143486338
39.9868897,-88.2627526
40.0547379,-88.1770411
40.067517,-88.24822999999999
39.9861415,-88.2589387
40.0400154,-88.2503811
40.06742608727224,-88.24229143486338
40.06742608727224,-88.24229143486338
40.06742608727224,-88.24229143486338
40.06484018343119,-88.24818848105298
40.067517,-88.24822999999999
40.067517,-88.24822999999999
40.1019523,-88.2271615
40.03649619999999,-88.26398789999999
40.07862758259323,-88.25000860621026
40.06742608727224,-88.24229143486338
40.067517,-88.24822999999999
40.05405623292036,-88.2432645715092
40.067517,-88.24822999999999
40.05951281765226,-88.24813091125901
40.067517,-88.24822999999999
40.06742608727224,-88.24229143486338
40.06742608727224,-88.24229143486338
